Affy	ENS	Symbol
213293_s_at	ENSG00000132274	TRIM22
200019_s_at	ENSG00000149806	FAU
211178_s_at	ENSG00000140368	PSTPIP1
203513_at	ENSG00000104133	SPG11
208685_x_at	ENSG00000204256	BRD2
201949_x_at	ENSG00000077549	CAPZB
213698_at	ENSG00000243749	TMEM35B
34206_at	ENSG00000186635	ARAP1
202530_at	ENSG00000112062	MAPK14
210908_s_at	ENSG00000123349	PFDN5
208842_s_at	ENSG00000115806	GORASP2
208988_at	ENSG00000173120	KDM2A
214085_x_at	ENSG00000139278	GLIPR1
200611_s_at	ENSG00000071127	WDR1
204158_s_at	ENSG00000110719	TCIRG1
203312_x_at	ENSG00000165527	ARF6
219079_at	ENSG00000065615	CYB5R4
221840_at	ENSG00000132334	PTPRE
213511_s_at	ENSG00000063601	MTMR1
31845_at	ENSG00000102034	ELF4
200991_s_at	ENSG00000115234	SNX17
217827_s_at	ENSG00000090487	SPG21
40225_at	ENSG00000178950	GAK
205922_at	ENSG00000112303	VNN2
212496_s_at	ENSG00000127663	KDM4B
212476_at	ENSG00000114331	ACAP2
203758_at	ENSG00000256043	CTSO
208922_s_at	ENSG00000162231	NXF1
206584_at	ENSG00000154589	LY96
212702_s_at	ENSG00000185963	BICD2
202306_at	ENSG00000168002	POLR2G
200077_s_at	ENSG00000104904	OAZ1
208736_at	ENSG00000111229	ARPC3
204236_at	ENSG00000151702	FLI1
220980_s_at	ENSG00000159322	ADPGK
211530_x_at	ENSG00000204632	HLA-G
200900_s_at	ENSG00000003056	M6PR
218747_s_at	ENSG00000139192	TAPBPL
211800_s_at	ENSG00000114316	USP4
203047_at	ENSG00000072786	STK10
221875_x_at	ENSG00000204642	HLA-F
205546_s_at	ENSG00000105397	TYK2
204174_at	ENSG00000132965	ALOX5AP
208959_s_at	ENSG00000023318	ERP44
201863_at	ENSG00000105058	FAM32A
213733_at	ENSG00000142347	MYO1F
222218_s_at	ENSG00000085514	PILRA
203620_s_at	ENSG00000137478	FCHSD2
211101_x_at	ENSG00000239998	LILRA2
218076_s_at	ENSG00000140750	ARHGAP17
211656_x_at	ENSG00000179344	HLA-DQB1
208729_x_at	ENSG00000234745	HLA-B
208764_s_at	ENSG00000135390	ATP5G2
206687_s_at	ENSG00000111679	PTPN6
200678_x_at	ENSG00000030582	GRN
209761_s_at	ENSG00000135899	SP110
209761_s_at	ENSG00000280755	SP110
201400_at	ENSG00000277791	PSMB3
211926_s_at	ENSG00000100345	MYH9
221741_s_at	ENSG00000149658	YTHDF1
204924_at	ENSG00000137462	TLR2
201594_s_at	ENSG00000154845	PPP4R1
202808_at	ENSG00000166272	WBP1L
208594_x_at	ENSG00000244482	LILRA6
212861_at	ENSG00000182544	MFSD5
214574_x_at	ENSG00000204482	LST1
211940_x_at	ENSG00000163041	H3F3A
205180_s_at	ENSG00000151651	ADAM8
202510_s_at	ENSG00000185215	TNFAIP2
203175_at	ENSG00000177105	RHOG
208932_at	ENSG00000149923	PPP4C
219966_x_at	ENSG00000172530	BANP
214150_x_at	ENSG00000113732	ATP6V0E1
219452_at	ENSG00000167261	DPEP2
209762_x_at	ENSG00000135899	SP110
209762_x_at	ENSG00000280755	SP110
211068_x_at	ENSG00000172661	FAM21C
212129_at	ENSG00000140157	NIPA2
208919_s_at	ENSG00000008130	NADK
204912_at	ENSG00000110324	IL10RA
222065_s_at	ENSG00000177731	FLII
201126_s_at	ENSG00000131446	MGAT1
212873_at	ENSG00000180448	ARHGAP45
218231_at	ENSG00000124357	NAGK
213828_x_at	ENSG00000163041	H3F3A
203741_s_at	ENSG00000121281	ADCY7
206219_s_at	ENSG00000141968	VAV1
213400_s_at	ENSG00000101849	TBL1X
217756_x_at	ENSG00000221792	MIR1282
213154_s_at	ENSG00000185963	BICD2
209734_at	ENSG00000123338	NCKAP1L
218134_s_at	ENSG00000086589	RBM22
218803_at	ENSG00000072609	CHFR
220023_at	ENSG00000184730	APOBR
201771_at	ENSG00000116521	SCAMP3
205945_at	ENSG00000160712	IL6R
211799_x_at	ENSG00000204525	HLA-C
213095_x_at	ENSG00000204472	AIF1
206978_at	ENSG00000121807	CCR2
201551_s_at	ENSG00000185896	LAMP1
1729_at	ENSG00000102871	TRADD
215633_x_at	ENSG00000204482	LST1
202803_s_at	ENSG00000160255	ITGB2
208979_at	ENSG00000198646	NCOA6
211995_x_at	ENSG00000075624	ACTB
204479_at	ENSG00000134996	OSTF1
202573_at	ENSG00000133275	CSNK1G2
217811_at	ENSG00000198843	SELENOT
200742_s_at	ENSG00000166340	TPP1
209949_at	ENSG00000116701	NCF2
207988_s_at	ENSG00000163466	ARPC2
202081_at	ENSG00000160888	IER2
209239_at	ENSG00000109320	NFKB1
212363_x_at	ENSG00000075624	ACTB
207677_s_at	ENSG00000100365	NCF4
205312_at	ENSG00000066336	SPI1
219183_s_at	ENSG00000100055	CYTH4
219889_at	ENSG00000165879	FRAT1
204806_x_at	ENSG00000204642	HLA-F
209901_x_at	ENSG00000204472	AIF1
219202_at	ENSG00000129667	RHBDF2
221903_s_at	ENSG00000083799	CYLD
209310_s_at	ENSG00000196954	CASP4
205147_x_at	ENSG00000100365	NCF4
218223_s_at	ENSG00000023902	PLEKHO1
214366_s_at	ENSG00000012779	ALOX5
201720_s_at	ENSG00000162511	LAPTM5
221059_s_at	ENSG00000103187	COTL1
218059_at	ENSG00000120963	ZNF706
200001_at	ENSG00000126247	CAPNS1
208877_at	ENSG00000180370	PAK2
204336_s_at	ENSG00000171700	RGS19
214911_s_at	ENSG00000204256	BRD2
201483_s_at	ENSG00000213246	SUPT4H1
204858_s_at	ENSG00000025708	TYMP
221666_s_at	ENSG00000103490	PYCARD
204949_at	ENSG00000076662	ICAM3
200059_s_at	ENSG00000067560	RHOA
201786_s_at	ENSG00000160710	ADAR
221654_s_at	ENSG00000140455	USP3
209124_at	ENSG00000172936	MYD88
202812_at	ENSG00000171298	GAA
201244_s_at	ENSG00000132155	RAF1
216950_s_at	ENSG00000265531	FCGR1CP
201871_s_at	ENSG00000162191	UBXN1
208829_at	ENSG00000231925	TAPBP
38964_r_at	ENSG00000015285	WAS
208436_s_at	ENSG00000185507	IRF7
204882_at	ENSG00000163219	ARHGAP25
218291_at	ENSG00000116586	LAMTOR2
200851_s_at	ENSG00000182149	IST1
202626_s_at	ENSG00000254087	LYN
204022_at	ENSG00000198373	WWP2
201044_x_at	ENSG00000120129	DUSP1
90610_at	ENSG00000077454	LRCH4
219457_s_at	ENSG00000100599	RIN3
218130_at	ENSG00000178927	C17orf62
207104_x_at	ENSG00000104972	LILRB1
206707_x_at	ENSG00000111913	FAM65B
213241_at	ENSG00000136040	PLXNC1
203085_s_at	ENSG00000105329	TGFB1
208679_s_at	ENSG00000163466	ARPC2
203415_at	ENSG00000249915	PDCD6
208946_s_at	ENSG00000126581	BECN1
203518_at	ENSG00000143669	LYST
207540_s_at	ENSG00000165025	SYK
218913_s_at	ENSG00000089639	GMIP
221269_s_at	ENSG00000142669	SH3BGRL3
200805_at	ENSG00000169223	LMAN2
215273_s_at	ENSG00000171148	TADA3
204994_at	ENSG00000183486	MX2
219191_s_at	ENSG00000110934	BIN2
203624_at	ENSG00000197976	AKAP17A
220731_s_at	ENSG00000157191	NECAP2
208981_at	ENSG00000261371	PECAM1
202162_s_at	ENSG00000155508	CNOT8
201765_s_at	ENSG00000213614	HEXA
217846_at	ENSG00000172053	MIR6890
220933_s_at	ENSG00000083223	ZCCHC6
208887_at	ENSG00000130811	EIF3G
218543_s_at	ENSG00000059378	PARP12
211100_x_at	ENSG00000239998	LILRA2
214749_s_at	ENSG00000198960	ARMCX6
206016_at	ENSG00000101997	CCDC22
218474_s_at	ENSG00000167977	KCTD5
218109_s_at	ENSG00000118855	MFSD1
219593_at	ENSG00000110446	SLC15A3
200080_s_at	ENSG00000163041	H3F3A
215493_x_at	ENSG00000112763	BTN2A1
209166_s_at	ENSG00000104774	MAN2B1
204122_at	ENSG00000011600	TYROBP
208737_at	ENSG00000136888	ATP6V1G1
45526_g_at	ENSG00000122390	NAA60
211982_x_at	ENSG00000169180	XPO6
204789_at	ENSG00000184922	FMNL1
217984_at	ENSG00000026297	RNASET2
217818_s_at	ENSG00000241553	ARPC4
206380_s_at	ENSG00000126759	CFP
206200_s_at	ENSG00000122359	ANXA11
208983_s_at	ENSG00000261371	PECAM1
208819_at	ENSG00000167461	RAB8A
200798_x_at	ENSG00000143384	MCL1
213136_at	ENSG00000175354	PTPN2
213566_at	ENSG00000169413	RNASE6
202181_at	ENSG00000100647	SUSD6
218084_x_at	ENSG00000089327	FXYD5
210269_s_at	ENSG00000197976	AKAP17A
219165_at	ENSG00000120913	PDLIM2
210785_s_at	ENSG00000130775	THEMIS2
212429_s_at	ENSG00000115207	GTF3C2
200887_s_at	ENSG00000115415	STAT1
212595_s_at	ENSG00000183283	DAZAP2
210754_s_at	ENSG00000254087	LYN
209539_at	ENSG00000129675	ARHGEF6
218387_s_at	ENSG00000130313	PGLS
217456_x_at	ENSG00000204592	HLA-E
211678_s_at	ENSG00000124226	RNF114
214334_x_at	ENSG00000183283	DAZAP2
202788_at	ENSG00000114738	MAPKAPK3
200652_at	ENSG00000163479	SSR2
205859_at	ENSG00000112799	LY86
209417_s_at	ENSG00000068079	IFI35
208675_s_at	ENSG00000244038	DDOST
211317_s_at	ENSG00000003402	CFLAR
205241_at	ENSG00000130489	SCO2
218088_s_at	ENSG00000116954	RRAGC
201954_at	ENSG00000130429	ARPC1B
209786_at	ENSG00000182952	HMGN4
221263_s_at	ENSG00000169976	SF3B5
218074_at	ENSG00000166595	FAM96B
203729_at	ENSG00000142227	EMP3
50221_at	ENSG00000112561	TFEB
204222_s_at	ENSG00000139278	GLIPR1
201950_x_at	ENSG00000077549	CAPZB
209367_at	ENSG00000076944	STXBP2
205804_s_at	ENSG00000009790	TRAF3IP3
207610_s_at	ENSG00000127507	ADGRE2
205159_at	ENSG00000100368	CSF2RB
212040_at	ENSG00000152291	TGOLN2
209190_s_at	ENSG00000131504	DIAPH1
200846_s_at	ENSG00000172531	PPP1CA
213039_at	ENSG00000268861	ARHGEF18
213039_at	ENSG00000104880	ARHGEF18
209879_at	ENSG00000110876	SELPLG
203104_at	ENSG00000182578	CSF1R
200796_s_at	ENSG00000143384	MCL1
201401_s_at	ENSG00000173020	GRK2
38149_at	ENSG00000163219	ARHGAP25
222062_at	ENSG00000104998	IL27RA
41386_i_at	ENSG00000132510	KDM6B
200055_at	ENSG00000166337	TAF10
210514_x_at	ENSG00000204632	HLA-G
213798_s_at	ENSG00000131236	CAP1
207707_s_at	ENSG00000157020	SEC13
202545_at	ENSG00000163932	PRKCD
203137_at	ENSG00000146457	WTAP
210660_at	ENSG00000104974	LILRA1
208392_x_at	ENSG00000135899	SP110
208392_x_at	ENSG00000280755	SP110
210895_s_at	ENSG00000114013	CD86
210978_s_at	ENSG00000158710	TAGLN2
203066_at	ENSG00000182022	CHST15
60471_at	ENSG00000100599	RIN3
203923_s_at	ENSG00000165168	CYBB
208933_s_at	ENSG00000116977	LGALS8
219947_at	ENSG00000111729	CLEC4A
202868_s_at	ENSG00000105171	POP4
217835_x_at	ENSG00000259399	TGIF2-C20orf24
208092_s_at	ENSG00000197872	FAM49A
207571_x_at	ENSG00000130775	THEMIS2
200044_at	ENSG00000257218	GATC
216095_x_at	ENSG00000063601	MTMR1
210434_x_at	ENSG00000143543	JTB
200997_at	ENSG00000248643	RBM14-RBM4
32069_at	ENSG00000102921	N4BP1
200837_at	ENSG00000185825	BCAP31
213513_x_at	ENSG00000163466	ARPC2
201311_s_at	ENSG00000131171	SH3BGRL
200905_x_at	ENSG00000204592	HLA-E
217794_at	ENSG00000205352	PRR13
201264_at	ENSG00000105669	COPE
203760_s_at	ENSG00000155926	SLA
204860_s_at	ENSG00000249437	NAIP
40420_at	ENSG00000072786	STK10
214730_s_at	ENSG00000090863	GLG1
211582_x_at	ENSG00000204482	LST1
217737_x_at	ENSG00000022277	RTFDC1
209575_at	ENSG00000243646	IL10RB
203555_at	ENSG00000072135	PTPN18
205098_at	ENSG00000163823	CCR1
201003_x_at	ENSG00000240849	TMEM189
gnf1h00278_at	ENSG00000149357	LAMTOR1 
gnf1h00421_at	ENSG00000123144	TRIR
gnf1h00174_at	ENSG00000164713	BRI3
gnf1h00269_at	ENSG00000107341	UBE2R2
200829_x_at	ENSG00000010244	ZNF207
